id,timestamp,device_id,millisecons,lon,lat,latitude_raw,longitude_raw,timestamp_gps,direction
12375,2017-06-25 10:13:40.027083,17,0,512670.420000,4663667.960000,4663672.875705,512667.540834,2017-06-07 10:13:39,0
12376,2017-06-25 10:13:40.019492,5,724913,512761.576583,4663620.036344,-500.000000,-500.000000,2017-06-07 10:13:39,85
12377,2017-06-25 10:13:40.273567,17,0,512670.420000,4663667.960000,4663667.716560,512669.674339,2017-06-07 09:52:07,0
12378,2017-06-25 10:13:39.487002,2,826582,512756.309575,4663621.037215,-500.000000,-500.000000,2017-06-07 10:13:39,59
12379,2017-06-25 10:13:40.780377,17,0,512670.420000,4663667.960000,4663667.716560,512669.674339,2017-06-07 09:52:07,0
12380,2017-06-25 10:13:40.289787,17,0,512670.420000,4663667.960000,4663672.897911,512667.540794,2017-06-07 10:13:40,0
12381,2017-06-25 10:13:40.285879,6,677297,512746.243990,4663619.964237,-500.000000,-500.000000,2017-06-07 10:13:40,81
12382,2017-06-25 10:13:40.879565,17,0,512670.420000,4663667.960000,4663672.897911,512667.540794,2017-06-07 10:13:40,0
12383,2017-06-25 10:13:41.831218,17,0,512670.420000,4663667.960000,4663667.716560,512669.674339,2017-06-07 09:52:07,0
12384,2017-06-25 10:13:41.592370,17,0,512670.420000,4663667.960000,4663672.864631,512667.557385,2017-06-07 10:13:41,0
12385,2017-06-25 10:13:41.588150,15,11214537,512708.676295,4663620.218513,-500.000000,-500.000000,2017-06-07 10:13:41,0
12386,2017-06-25 10:13:42.157434,17,0,512670.420000,4663667.960000,4663672.764703,512667.557564,2017-06-07 10:13:41,0
12387,2017-06-25 10:13:42.153538,16,11016125,512792.312605,4663603.892440,-500.000000,-500.000000,2017-06-07 10:13:41,0
12388,2017-06-25 10:13:43.128141,17,0,512670.420000,4663667.960000,4663672.642465,512667.499924,2017-06-07 10:13:43,0
12389,2017-06-25 10:13:43.124166,8,797915,512709.125330,4663632.499424,-500.000000,-500.000000,2017-06-07 10:13:42,70
12390,2017-06-25 10:13:43.678263,17,0,512670.420000,4663667.960000,4663667.716560,512669.674339,2017-06-07 09:52:07,0
12391,2017-06-25 10:13:42.857992,17,0,512670.420000,4663667.960000,4663672.698084,512667.557683,2017-06-07 10:13:42,0
12392,2017-06-25 10:13:42.853885,7,8024790,512773.139693,4663615.738120,-500.000000,-500.000000,2017-06-07 10:13:42,72
12393,2017-06-25 10:13:45.191915,17,0,512670.420000,4663667.960000,4663667.716560,512669.674339,2017-06-07 09:52:07,0
12394,2017-06-25 10:13:44.705436,17,0,512670.420000,4663667.960000,4663672.598023,512667.483473,2017-06-07 10:13:43,0
12395,2017-06-25 10:13:46.701977,17,0,512670.420000,4663667.960000,4663667.716560,512669.674339,2017-06-07 09:52:07,0
12396,2017-06-25 10:13:46.474946,17,0,512670.420000,4663667.960000,4663672.397973,512667.376380,2017-06-07 10:13:46,0
12397,2017-06-25 10:13:46.470703,2,833487,512764.161007,4663616.965438,-500.000000,-500.000000,2017-06-07 10:13:46,63
12398,2017-06-25 10:13:46.200464,17,0,512670.420000,4663667.960000,4663672.486917,512667.442344,2017-06-07 10:13:44,0
12399,2017-06-25 10:13:47.218291,17,0,512670.420000,4663667.960000,4663667.716560,512669.674339,2017-06-07 09:52:07,0
12400,2017-06-25 10:13:47.007995,17,0,512670.420000,4663667.960000,4663672.342413,512667.351683,2017-06-07 10:13:46,0
12401,2017-06-25 10:13:47.003493,5,731825,512771.881466,4663621.331841,-500.000000,-500.000000,2017-06-07 10:13:46,87
12402,2017-06-25 10:13:46.744966,17,0,512670.420000,4663667.960000,4663672.364634,512667.359908,2017-06-07 10:13:46,0
12403,2017-06-25 10:13:46.741110,4,898633,512738.614501,4663624.724831,-500.000000,-500.000000,2017-06-07 10:13:46,71
12404,2017-06-25 10:13:47.723932,17,0,512670.420000,4663667.960000,4663672.342413,512667.351683,2017-06-07 10:13:47,0
12405,2017-06-25 10:13:47.720044,6,684203,512739.573777,4663619.885580,-500.000000,-500.000000,2017-06-07 10:13:47,79
12406,2017-06-25 10:13:48.580226,17,0,512670.420000,4663667.960000,4663672.286838,512667.318720,2017-06-07 10:13:48,0
12407,2017-06-25 10:13:48.576385,15,11221449,512708.924502,4663620.085721,-500.000000,-500.000000,2017-06-07 10:13:48,0
12408,2017-06-25 10:13:48.774692,17,0,512670.420000,4663667.960000,4663667.716560,512669.674339,2017-06-07 09:52:07,0
12409,2017-06-25 10:13:49.277422,17,0,512670.420000,4663667.960000,4663667.716560,512669.674339,2017-06-07 09:52:07,0
12410,2017-06-25 10:13:48.846628,17,0,512670.420000,4663667.960000,4663672.286838,512667.318720,2017-06-07 10:13:48,0
12411,2017-06-25 10:13:48.842460,16,11022891,512792.421265,4663603.226447,-500.000000,-500.000000,2017-06-07 10:13:48,0
12412,2017-06-25 10:13:50.104424,17,0,512670.420000,4663667.960000,4663667.716560,512669.674339,2017-06-07 09:52:07,0
12413,2017-06-25 10:13:49.867834,17,0,512670.420000,4663667.960000,4663672.253529,512667.318780,2017-06-07 10:13:49,0
12414,2017-06-25 10:13:49.859856,8,804662,512712.648485,4663631.384346,-500.000000,-500.000000,2017-06-07 10:13:49,70
12415,2017-06-25 10:13:49.580163,17,0,512670.420000,4663667.960000,4663672.264632,512667.318760,2017-06-07 10:13:49,0
12416,2017-06-25 10:13:49.575908,7,8031933,512767.136762,4663616.893096,-500.000000,-500.000000,2017-06-07 10:13:49,71
12417,2017-06-25 10:13:51.013749,17,0,512670.420000,4663667.960000,4663672.253529,512667.318780,2017-06-07 10:13:50,0
12418,2017-06-25 10:13:52.623372,2,839668,512770.963090,4663617.255317,-500.000000,-500.000000,2017-06-07 10:13:52,70
12419,2017-06-25 10:13:52.628610,17,0,512670.420000,4663667.960000,4663672.342680,512667.500462,2017-06-07 10:13:52,0
12420,2017-06-25 10:13:53.136850,17,0,512670.420000,4663667.960000,4663667.716560,512669.674339,2017-06-07 09:52:07,0
12421,2017-06-25 10:13:52.890312,17,0,512670.420000,4663667.960000,4663672.376034,512667.525199,2017-06-07 10:13:52,0
12422,2017-06-25 10:13:52.886084,4,904813,512746.466367,4663624.983270,-500.000000,-500.000000,2017-06-07 10:13:52,65
12423,2017-06-25 10:13:53.148516,17,0,512670.420000,4663667.960000,4663667.716560,512669.674339,2017-06-07 09:52:07,0
12424,2017-06-25 10:13:53.553440,17,0,512670.420000,4663667.960000,4663672.398300,512667.558221,2017-06-07 10:13:53,0
12425,2017-06-25 10:13:53.549626,5,738006,512780.643133,4663621.269972,-500.000000,-500.000000,2017-06-07 10:13:52,88
12426,2017-06-25 10:13:54.157165,17,0,512670.420000,4663667.960000,4663667.716560,512669.674339,2017-06-07 09:52:07,0
12427,2017-06-25 10:13:53.819980,17,0,512670.420000,4663667.960000,4663672.453860,512667.582918,2017-06-07 10:13:53,0
12428,2017-06-25 10:13:53.815572,6,690828,512732.011101,4663619.683186,-500.000000,-500.000000,2017-06-07 10:13:53,76
